PMID	Title	Abstract
7905294	Ethanol inhibits glutamate-induced currents in heteromeric NMDA receptor subtypes.	Maximal L-glutamate/glycine-evoked currents were inhibited by ethanol in Xenopus laevis oocytes expressing recombinant heteromeric NMDA receptors consisting of NR1-NR2A, NR1-NR2B, and NR1-NR2C subunit combinations. Concentration-dependent inhibition was observed at ethanol concentrations of > or = 50 mM both in Ca(2+)-containing and Ca(2+)-deficient, Ba(2+)-containing Mg(2+)-free media. The NR1-NR2C channels were slightly less sensitive to ethanol inhibition than the other heteromeric channels in Ca(2+)-deficient, Ba(2+)-containing medium. The inhibition was unaffected by the clamping-voltage and by a mutation [NR1-NR2A(N595Q)] that prevents the Mg(2+)-blockade of the channels, indicating that the mechanism of action of ethanol differs from that of Mg2+. The results are consistent with the hypothesis that the NMDA receptor subtypes can mediate many behavioural actions of ethanol.
23261524	Live-cell imaging of p53 interactions using a novel Venus-based bimolecular fluorescence complementation system.	"p53 plays an important role in regulating a wide variety of cellular processes, such as cell cycle arrest and/or apoptosis. Dysfunction of p53 is frequently associated with several pathologies, such as cancer and neurodegenerative diseases. In recent years substantial progress has been made in developing novel p53-activating molecules. Importantly, modulation of p53 interaction with its main inhibitor, Mdm2, has been highlighted as a promising therapeutic target. In this regard, bimolecular fluorescence complementation (BiFC) analysis, by providing direct visualization of protein interactions in living cells, offers a straightforward method to identify potential modulators of protein interactions. In this study, we developed a simple and robust Venus-based BiFC system to screen for modulators of p53-p53 and p53-Mdm2 interactions in live mammalian cells. We used nutlin-3, a well-known disruptor of p53-Mdm2 interaction, to validate the specificity of the assay. The reduction of BiFC signal mediated by nutlin-3 was correlated with an increase in Puma transactivation, PARP cleavage, and cell death. Finally, this novel BiFC approach was exploited to identify potential modulators of p53-Mdm2 complex formation among a commercially available chemical library of 33 protein phosphatase inhibitors. Our results constitute ""proof-of-concept"" that this model has strong potential as an alternative to traditional target-based drug discovery strategies. Identification of new modulators of p53-p53 and p53-Mdm2 interactions will be useful to achieve synergistic drug efficacy with currently used anti-tumor therapies."
14633707	Epidermal growth factor receptor autocrine signaling in RIE-1 cells transformed by the Ras oncogene enhances radiation resistance.	Oncogenic forms of the small GTPase Ras increase the resistance of cells to killing by ionizing radiation (IR). Although not all of the signaling pathways for radioresistance are well defined, it is now clear that Ras-dependent signaling pathways involved in radioresistance include those mediated by phosphatidylinositol 3'-kinase (PI3-K) and Raf. Nevertheless, PI3-K and Raf together are not sufficient to reconstitute all of the resistance conferred by Ras, indicating that other effectors must also contribute. We show here that Ras-driven autocrine signaling through the epidermal growth factor receptor (EGFR) also contributes to radioresistance in Ras-transformed cells. Conditioned media (CM) collected from RIE-1 rat intestinal epithelial cells expressing oncogenic Ras increased the survival of irradiated cells. Ras-CM contains elevated levels of the EGFR ligand transforming growth factor alpha (TGF-alpha). Both Ras-CM and TGF-alpha stimulated EGFR phosphorylation, and exogenous TGF-alpha mimicked the effects of Ras-CM to increase radioresistance. Blocking EGFR signaling with the EGFR/HER-2 kinase inhibitor (KI) GW572016 decreased the postradiation survival of irradiated Ras-transformed cells and normal cells but had no effect on the survival of unirradiated cells. Ras-CM and TGF-alpha also increase PI3-K activity downstream of the EGFR and increase postradiation survival, both of which are abrogated by GW572016. Thus, Ras utilizes autocrine signaling through EGFR to increase radioresistance, and the EGFR KI GW572016 acts as a radiosensitizer. The observation that Ras-transformed cells can be sensitized to killing by ionizing radiation with GW572016 demonstrates that EGFR KIs could potentially be used to radiosensitize tumors in which radioresistance is dependent on Ras-driven autocrine signaling through EGFR.
11923794	Pharmacodynamic profile of the direct thrombin antagonist bivalirudin given in combination with the glycoprotein IIb/IIIa antagonist eptifibatide.	BACKGROUND: Because of the adverse characteristics associated with heparin, direct antagonists of thrombin have been investigated as anticoagulants during percutaneous coronary interventions. However, the hematologic and clinical interactions between direct thrombin antagonists and inhibitors of platelet glycoprotein IIb-IIIa are incompletely explored. METHODS: Forty-two patients who underwent elective percutaneous coronary intervention were randomized to receive a bivalirudin 1.0 mg/kg bolus followed by a 4-hour infusion at 2.5 mg/kg/h; a bivalirudin 0.75 mg/kg bolus followed by a 4-hour infusion at 1.75 mg/kg; or a heparin 60 U/kg bolus. All the patients also received eptifibatide, given as 2 sequential boluses of 180 microg/kg followed by a 2 microg/kg/min infusion for 18 to 24 hours, and aspirin. RESULTS: After the bolus dose of the study drug, turbidimetric platelet aggregation in response to 5 micromol/L adenosine diphosphate increased in patients assigned to heparin but not those assigned to bivalirudin. After eptifibatide, platelet aggregation was eliminated in all 3 treatment groups. The effect of heparin and the effects of both bivalirudin regimens on the formation of thrombin antithrombin complexes and prothrombin fragment 1.2 were comparable. Neither agent affected the formation of platelet-monocyte complexes or expression of CD 63 lysosomal antigen. There were no major bleeding events, and a single non-Q-wave myocardial infarction (MI) occurred in a patient treated with bivalirudin. CONCLUSION: These findings show the feasibility of combining the direct thrombin antagonist bivalirudin with a potent antagonist of platelet glycoprotein IIb-IIIa. Clinical trials are needed to assess the safety and efficacy of this combination.
1692236	Differences in conformational stability between native and phosphorylated acetylcholinesterase as evidenced by a monoclonal antibody.	Monoclonal antibody 25B1 generated against diisopropyl phosphorofluoridate inhibited fetal bovine serum acetylcholinesterase has been extensively characterized with respect to its anticholinesterase properties. This antibody demonstrated considerably different properties from previously reported inhibitory antibodies raised against acetylcholinesterase in terms of the degree of inhibition (greater than 98%), the high degree of specificity, and the stability of the antigen-antibody complex. Monoclonal antibody 25B1 appears to be directed against a conformational epitope located in close proximity to the catalytic center of the enzyme and was found to be most suitable for studying the stabilization of the active site of acetylcholinesterase against denaturation by heat or guanidine following phosphorylation by organophosphorus anticholinesterase compounds. This approach allowed the determination of stability rank order of various phosphorylated acetylcholinesterases. Among all the organophosphates tested, the combination of a methyl group and a negatively charged oxygen attached to the P atom, CH3P(O)(O-)-AChE, conferred the greatest protection to the active site of aged or nonaged organophosphoryl conjugates of acetylcholinesterase.
10224140	Molecular cloning and characterization of a new multispecific organic anion transporter from rat brain.	A cDNA encoding the new member of the multispecific organic anion transporter family, OAT3, was isolated by the reverse transcription-polymerase chain reaction cloning method. Degenerate primers were designed based on the sequences conserved among OAT1, OAT2, and organic cation transporter 1 (OCT1), and reverse transcription-polymerase chain reaction was performed using rat brain poly(A)+ RNA. The 536-amino acid protein sequence encoded by OAT3 showed 49, 39, and 36% identity to those of OAT1, OAT2, and OCT1, respectively. Northern blot analysis revealed that rat OAT3 mRNA is expressed in the liver, brain, kidney, and eye. When expressed in Xenopus laevis oocytes, OAT3 mediated the uptake of organic anions, such as p-aminohippurate (Km = 65 microM), ochratoxin A (Km = 0.74 microM), and estrone sulfate (Km = 2.3 microM) and a cationic compound, cimetidine. OAT3-mediated uptake of [3H]estrone sulfate was sodium-independent. para-Aminohippuric acid, estrone sulfate or ochratoxin A did not show any trans-stimulatory effect on either influx or efflux of [3H]estrone sulfate via OAT3. Organic anions such as sulfobromophthalein, probenecid, indocyanine green, bumetanide, piroxicam, furosemide, azidodeoxythymidine, 4, 4'-diisothiocyanostilbene-3,3'-disulfonic acid, and benzylpenicillin inhibited OAT3-mediated estrone sulfate uptake, while ouabain and digoxin did not. Organic cations such as tetraethylammonium, guanidine, verapamil, and quinidine did not interact with OAT3. Acidic metabolites of neurotransmitters derived from dopamine, epinephrine, norepinephrine, and serotonin inhibited the uptake of estrone sulfate via OAT3. These results suggest an important role of OAT3 in the excretion/detoxification of endogenous and exogenous organic anions, especially from the brain.
23528251	Cross-talk between constitutive androstane receptor and hypoxia-inducible factor in the regulation of gene expression.	Hypoxia inducible factor (HIF) and 5'-AMP-activated protein kinase are often activated under similar physiological conditions. Constitutive androstane receptor (CAR) translocates into the nucleus in accordance with 5'-AMP-activated protein kinase and thus confers transactivation. The aim of the present study was to investigate a possible link between CAR and HIFα. Phenobarbital (PB), a typical CAR activator, increased the gene expression of HIF-target genes in the livers of mice, including erythropoietin, heme oxygenase-1 and vascular endothelial growth factor-a. PB induced an accumulation of nuclear HIF-1α and an increase in the HIF-responsive element-mediated transactivation in HepG2 cells. Cobalt chloride, a typical HIF activator, induced the gene expression of CAR-target genes, including cyp2b9 and cyp2b10, an accumulation of nuclear CAR and an increase in the PB-responsive enhancer module-mediated transactivation in the mouse liver. Immunoprecipitation-immunoblot and chromatin immunoprecipitation analyses suggest that CAR binds to the PB-responsive enhancer module with HIF-1α in the liver of untreated mice and that the complex dissociates upon PB treatment. Taken together these results suggest that CAR and HIF-α interact and reciprocally modulate the functions of each other.
23511125	Acetylcholinesterase inhibition reveals endogenous nicotinic modulation of glutamate inputs to CA1 stratum radiatum interneurons in hippocampal slices.	The involvement of brain nicotinic acetylcholine receptors (nAChRs) in the neurotoxicological effects of soman, a potent acetylcholinesterase (AChE) inhibitor and a chemical warfare agent, is not clear. This is partly due to a poor understanding of the role of AChE in brain nAChR-mediated functions. To test the hypothesis that AChE inhibition builds sufficient acetylcholine (ACh) in the brain and facilitates nAChR-dependent glutamate transmission, we used whole-cell patch-clamp technique to record spontaneous glutamate excitatory postsynaptic currents (EPSCs) from CA1 stratum radiatum interneurons (SRI) in hippocampal slices. First, the frequency, amplitude and kinetics of EPSCs recorded from slices of control guinea pigs were compared to those recorded from slices of guinea pigs after a single injection of the irreversible AChE inhibitor soman (25.2μg/kg, s.c.). Second, EPSCs were recorded from rat hippocampal slices before and after their superfusion with the reversible AChE inhibitor donepezil (100nM). The frequency of EPSCs was significantly higher in slices taken from guinea pigs 24h but not 7 days after the soman injection than in slices from control animals. In 52% of the rat hippocampal slices tested, bath application of donepezil increased the frequency of EPSCs. Further, exposure to donepezil increased both burst-like and large-amplitude EPSCs, and increased the proportion of short (20-100ms) inter-event intervals. Donepezil's effects were suppressed significantly in presence of 10μM mecamylamine or 10nM methyllycaconitine. These results support the concept that AChE inhibition is able to recruit nAChR-dependent glutamate transmission in the hippocampus and such a mechanism can contribute to the acute neurotoxicological actions of soman.
23155202	Influence of coadministration of artemether and lumefantrine on selected plasma biochemical and erythrocyte oxidative stress indices in female Wistar rats.	Among the artemisinin-based combination therapy (ACT) regimens, artemisinin derivative, artemether in combination with lumefantrine (artemether-lumefantrine, AL) has achieved excellent results in the fight against malarial scourge. In this study, we evaluated the toxic potential of these drugs at the therapeutic doses in female Wistar rats. Animals were randomly divided into four groups: those administered 1% Tween 80 (control), those administered artemether (4 mg/kg body weight), those administered lumefantrine (24 mg/kg body weight), and those coadministered artemether (4 mg/kg body weight) and lumefantrine (24 mg/kg body weight). The drugs were orally administered twice daily for 3 days by gastric intubation after which selected plasma biochemical indices, and erythrocytes antioxidant defence and lipid peroxidation markers were evaluated. Coadministration of artemether and lumefantrine raised liver and renal function markers and increased atherogenic index. While reduced glutathione, glucose-6-phosphate dehydrogenase (G6PD) and catalase activities were reduced, glutathione peroxidase and glutathione-s-transferase activities increased in all the treated groups compared to the control group. The drugs caused significant (p < 0.05) elevation of malondialdehyde (MDA) levels compared to the control group. These results imply that coadministration of artemether and lumefantrine may increase the risks of atherosclerosis as well as liver and renal function impairments in the users. In addition, the drugs may also promote oxidative stress in the erythrocytes.
15110853	Carbonic anhydrase inhibitors: aromatic and heterocyclic sulfonamides incorporating adamantyl moieties with strong anticonvulsant activity.	A series of aromatic/heterocyclic sulfonamides incorporating adamantyl moieties were prepared by reaction of aromatic/heterocyclic aminosulfonamides with the acyl chlorides derived from adamantyl-1-carboxylic acid and 1-adamantyl-acetic acid. Related derivatives were obtained from the above-mentioned aminosulfonamides with adamantyl isocyanate and adamantyl isothiocyanate, respectively. Some of these derivatives showed good inhibitory potency against two human CA isozymes involved in important physiological processes, CA I, and CA II, of the same order of magnitude as the clinically used drugs acetazolamide and methazolamide. The lipophilicity of the best CA inhibitors was determined and expressed as their experimental log k' IAM and theoretical ClogP value. Their lipophilicity was propitious with the crossing of the blood-brain barrier (log k' > IAM > 1.35). The anticonvulsant activity of some of the best CA inhibitors reported here has been evaluated in a MES test in mice. After intraperitoneal injection (30 mg kg(-1)), compounds A8 and A9 exhibited a high protection against electrically induced convulsions (> 90%). Their ED50 was 3.5 and 2.6 mg kg(-1), respectively.
12175785	A heterozygote phenotype is present in the jvs +/- mutant mouse livers.	The juvenile visceral steatosis (jvs) mouse, having a mutation in the carnitine transporter gene Octn2, is a model of primary systemic carnitine deficiency in humans (SCD, OMIM 212140). Like humans with SCD, homozygous jvs -/- mice have hepatic and cardiac steatoses, reduced plasma and tissue carnitines, and increased urinary carnitine clearance. Because symptomatic heterozygotes have been reported for some fatty acid oxidation disorders, including SCD, we compared the jvs heterozygotes to normal control mice. We measured the free and esterified carnitine, total cholesterol, and triglycerides in adult liver samples, myocardium, and skeletal muscle. Our results indicate significant differences between the livers of nonfasting adult normal (n = 8) vs jvs heterozygotes (n = 8) (means +/- SEM, p < 0.01) for the following parameters: free carnitine, 2.28 +/- 0.36 nmol/mg protein vs 0.41 +/- 0.13; total carnitine, 3.48 +/- 0.36 vs 1.27 +/- 0.25; triglycerides, 0.14 +/- 0.04 vs 0.39 +/- 0.02; and total cholesterol, 0.21 +/- 0.02 vs 0.39 +/- 0.04, but not for esterified carnitine, 1.18 +/- 0.17 vs 0.90 +/- 0.17 (p > 0.05). There is also a negative correlation between hepatic free carnitine and triglycerides from jvs heterozygotes (p < 0.05). Similar results were obtained with myocardium and skeletal muscle. We conclude that free and total carnitine levels are significantly lower in the heterozygote mouse liver and heart while triglyceride and total cholesterol levels are significantly higher. We speculate that in situations of lipolytic stress, some SCD heterozygotes might develop clinical symptoms of carnitine deficiency.
15860753	Glucocorticoid receptor nuclear translocation in airway cells after inhaled combination therapy.	Clinical evidence is accumulating for the efficacy of adding inhaled long-acting beta(2)-agonists (LABAs) to corticosteroids in asthma. Corticosteroids bind to cytoplasmic glucocorticoid receptors (GRs), which then translocate to the nucleus where they regulate gene expression. This article reports the first evidence in vivo of an interaction between inhaled LABA and corticosteroid on GR nuclear translocation in human airway cells using immunocytochemistry. We initially demonstrated significant GR activation 60 minutes after inhalation of 800 microg beclomethasone dipropionate in six healthy subjects. Subsequently, we determined the effects of salmeterol and fluticasone propionate (FP) in seven steroid-naive patients with asthma. We observed dose-dependent GR activation with 100- and 500-microg doses of FP, and to a lesser extent with 50 microg salmeterol alone. However, combination therapy with 100 microg FP and salmeterol augmented the action of FP on GR nuclear localization. In vitro, salmeterol enhanced FP effects on GR nuclear translocation in epithelial and macrophage-like airway cell lines. In addition, salmeterol in combination with FP enhanced glucocorticoid response element (GRE)-luciferase reporter gene activity and mitogen-activated protein kinase phosphatase 1 (MKP-1) and secretory leuko-proteinase inhibitor (SLPI) gene induction. Together, our data confirm that GR nuclear translocation may underlie the complementary interactions between LABAs and corticosteroids, although the precise signal transduction mechanisms remain to be determined.
17033106	Interaction of nonsteroidal anti-inflammatory drugs (NSAID) with Helicobacter pylori in the stomach of humans and experimental animals.	Helicobacter pylori (H. pylori) and non-steroidal anti-inflammatory drugs (NSAID) are major pathogenic factors in peptic ulcer disease but whether these two factors exert synergistic or antagonistic action on the gastric mucosa has been a subject of controversy. The classic concept states that there is an increased ulcer occurrence and bleeding in patients with both H. pylori infection and NSAID use. However, the question whether the H. pylori eradication therapy in NSAID users reduces the occurrence of peptic ulcer has not been fully addressed. Studies on secondary prevention of NSAID-associated ulcers in H. pylori patients have indicated that H. pylori eradication results in impaired ulcer healing with an effect on the rate of peptic ulcer occurrence. On the other hand, the treatment of H. pylori in patients with no prior history of chronic NSAID therapy has been shown to decrease the risk of peptic ulcer. Studies in experimental animals revealed for instance, that the H. pylori infection augments the gastric mucosal damage induced by NSAID in Mongolian gerbils. In rats with preexisting chromic gastric ulcers, H. pylori infection attenuated significantly the aspirin-induced inhibition of ulcer healing and accompanying fall in the gastric blood flow at the margin of these ulcers, suggesting negative interaction between aspirin and H. pylori on ulcerogenesis. Accumulated evidence in humans and animals shows that both aspirin and H. pylori upregulate the expression of cyclooxygenase (COX)-2 both at mRNA and protein levels at the ulcer margin, but failed to influence significantly that of COX-1. It was, therefore, proposed that H. pylori may in fact, antagonize, aspirin-induced delay of ulcer healing due to suppression of acid secretion by the enhancement in PGE(2) possibly derived from COX-2 expression and activity and to the overexpression of growth factors such as TGF alpha and VEGF. The present review summarizes and further addresses the issue of the interaction between these two major ulcer risk factors determined in the stomach of humans and experimental animals.
2120879	Role of extracellular calcium and calmodulin in prolactin secretion induced by hyposmolarity, thyrotropin-releasing hormone, and high K+ in GH4C1 cells.	The mechanism by which 30% medium hyposmolarity induces PRL secretion by GH4C1 cells was compared with that induced by 100 nmol/l TRH or 30 mmol/l K+. Removing medium Ca2+, blocking Ca2+ channels with 50 mumol/l verapamil, or inhibiting calmodulin activation with 20 mumol/l trifluoperazine, 10 mumol/l chlorpromazine or 10 mumol/l pimozide almost completely blocked hyposmolarity-induced secretion. The smooth muscle relaxant, W-7, which is believed relatively specific in inhibiting the Ca2(+)-calmodulin interaction, depressed hyposmolarity-induced PRL secretion in a dose-dependent manner (r = -0.991, p less than 0.01). The above drugs also blocked or decreased high K(+)-induced secretion, but had much less effect on TRH-induced secretion. Secretion induced by TRH, hyposmolarity, or high K+ was optimal at pH 7.3-7.65 and was significantly depressed at pH 6.0 or 8.0, indicating that release of hormone induced by all 3 stimuli is due to an active cell process requiring a physiologic extracellular pH and is not produced by nonspecific cell toxicity. The data suggest hyposmolarity and high K+ may share some similarities in their mechanism of stimulating secretion, which is different from that of TRH.
23517733	Synthesis and selected immunological properties of substituted quino[3,2-b]benzo[1,4]thiazines.	A new type of azaphenothiazines - tetracyclic quino[3,2-b]benzo[1,4]thiazines, possessing common substituents (H, CH3, Cl, Br, F, CF3, SCH3) in positions 8-10 and pharmacophoric aminoalkyl substituents in position 6, were obtained from diquinodithiin and 2,2'-dichloro-3,3'-diquinolinyl disulfide in several-step syntheses. Sixty one compounds, grouped as the 6H, 6-dialkylaminoalkyl, 6-acylaminoalkyl and sulfonylaminoalkyl derivatives, were tested for cytotoxicity, their effects on phytohemagglutin A (PHA)-induced proliferative response of human peripheral blood mononuclear cells (PBMC) and lipopolysaccharide (LPS)-induced tumor necrosis factor alpha (TNF-α) production by these cells. The compounds exhibited differential inhibitory activities in these tests and significantly varied in terms of cytotoxicity. The most promising compounds were tested for growth inhibition of leukemia L-1210 cells, colon cancer SV-948 cells and epidermal carcinoma A-341 cells. The most active compounds exhibited anticancer activity against these cell lines comparable to that of cisplatin. The structure-activity relationship of the compounds were discussed.
23297412	Resveratrol improves cardiomyopathy in dystrophin-deficient mice through SIRT1 protein-mediated modulation of p300 protein.	Cardiomyopathy is the main cause of death in Duchenne muscular dystrophy. Here, we show that oral administration of resveratrol, which leads to activation of an NAD(+)-dependent protein deacetylase SIRT1, suppresses cardiac hypertrophy and fibrosis and restores cardiac diastolic function in dystrophin-deficient mdx mice. The pro-hypertrophic co-activator p300 protein but not p300 mRNA was up-regulated in the mdx heart, and resveratrol administration down-regulated the p300 protein level. In cultured cardiomyocytes, cardiomyocyte hypertrophy induced by the α(1)-agonist phenylephrine was inhibited by the overexpression of SIRT1 as well as resveratrol, both of which down-regulated p300 protein levels but not p300 mRNA levels. In addition, activation of atrial natriuretic peptide promoter by p300 was inhibited by SIRT1. We found that SIRT1 induced p300 down-regulation via the ubiquitin-proteasome pathway by deacetylation of lysine residues for ubiquitination. These findings indicate the pathological significance of p300 up-regulation in the dystrophic heart and indicate that SIRT1 activation has therapeutic potential for dystrophic cardiomyopathy.
23122096	Quantitative determination of fatty acid chain composition in pork meat products by high resolution 1H NMR spectroscopy.	High resolution (1)H NMR spectroscopy was proposed for the determination of the fatty acid chain profile of lipids in pork meat products during ripening. Two typical Mediterranean PDO salami produced in Calabria, a region in the Southern Italy, were chosen as a case of study. Quantitative NMR analysis provided the fatty acid chain profiles of total lipid extracts. The transesterification of total lipid extracts furnished FAME mixtures that enabled quantitation of fatty acid acyl chains in the acylglycerol and FFA portions. In all cases, oleyl chains were predominant, and high amounts of polyunsaturated fatty acid chains were observed. The proposed spectroscopic method allowed also the estimation of the most important nutritional parameters of dry fermented meat products.
23608241	The effect of mitragynine on cAMP formation and mRNA expression of mu-opioid receptors mediated by chronic morphine treatment in SK-N-SH neuroblastoma cell.	ETHOPHARMACOLOGICAL RELEVANCE: Mitragynine is an indole alkaloid compound of Mitragyna speciosa (M. speciosa) Korth. (Rubiaceae). This plant is native to the southern regions of Thailand and northern regions of Malaysia and is frequently used to manage the withdrawal symptoms in both countries. AIM OF STUDY: To investigate the effect of mitragynine after chronic morphine treatment on cyclic AMP (cAMP) level and mRNA expression of mu-opioid receptor (MOR) in human neuroblastoma SK-N-SH cell. METHOD AND MATERIALS: Mitragynine was isolated from the Mitragyna speciosa plant using the acid-base extraction method. The cAMP level upon forskolin stimulation in the cells was determined using the Calbiochem(®) Direct Immunoassay Kit. The mRNA expression of the MOR was carried out using quantitative RT-PCR. RESULT: Cotreatment and pretreatment of morphine and mitragynine significantly reduced the production of cAMP level at a lower concentration of nitrogen while the higher concentration of this compound could lead to the development of tolerance and dependence as shown by the increase of the cAMP level production in foskolin stimulation. In MOR mRNA expression study, cotreatment of morphine with mitragynine significantly reduced the down-regulation of MOR mRNA expression as compared to morphine treatment only. CONCLUSION: These finding suggest that mitragynine could possibly avoid the tolerance and dependence on chronic morphine treatment by reducing the up-regulation of cAMP level as well as reducing the down-regulation of MOR at a lower concentration of mitragynine.
9256165	Inhibition of extracellular release of proinflammatory secretory phospholipase A2 (sPLA2) by sulfasalazine: a novel mechanism of anti-inflammatory activity.	Sulfasalazine is widely used in rheumatoid arthritis and inflammatory bowel diseases. The mechanisms of its activity have not been elucidated. In leukocytes, sulfasalazine and its analogue, CL 42A, inhibited the formation of leukotrienes and possibly of the second messenger compounds at the level of phospholipase C. Partial inhibition of interleukin-lbeta (IL-1beta), IL-6 and tumor necrosis factor-alpha (TNF-alpha) was also found. Since the synthesis of eicosanoids is induced by phospholipase A2 and since secretory phospholipase A2 (sPLA2) is proinflammatory, we investigated the impact of sulfasalazine and related compounds on mRNA, protein synthesis, and release of sPLA2 from osteoblasts. Sulfasalazine and CL 42A markedly inhibited extracellular release of sPLA2. The impact of sulfasalazine was evident at 50 microM (P < 0.001) and maximal at 400 microM, and that of CL 42A at 10 microM (P < 0.001) and 200 microM, respectively. Split products of sulfasalazine, 5-aminosalicylic acid (400 microM) and sulfapyridine (400 microM), had no impact. The effect of sulfasalazine and CL 42A was evident regardless of whether the cells were stimulated with IL-1beta/TNF-alpha, lipopolysaccharide/forskolin, or dibutyryl-cAMP. Sulfasalazine and CL 42A did not alter the level of sPLA2 mRNA. Exposure of stimulated fetal rat calvaria osteoblasts (FRCO) to sulfasalazine did not show accumulation of the intracellular sPLA2 protein as tested by western blot; however, enzymatic activity of PLA2 in disrupted cells was definitely increased. Thus, the impact is on the post-transcriptional release of sPLA2 rather than on the synthesis. There was also an increase in the extracellular release of prostaglandin E2 from FRCO exposed to sulfasalazine or to CL 42A. In contrast, sulfasalazine had no effect on the extracellular release of gelatinase from the cells or on mRNA of cytosolic PLA2 or cyclooxygenase 2. We conclude that the anti-inflammatory activity of sulfasalazine may be related, in part, to the selective inhibition of the extracellular release of proinflammatory sPLA2.
17512091	Downregulation of glutaredoxin but not glutathione loss leads to mitochondrial dysfunction in female mice CNS: implications in excitotoxicity.	Oxidative stress, excitotoxicity and mitochondrial dysfunction play synergistic roles in neurodegeneration. Maintenance of thiol homeostasis is important for normal mitochondrial function and dysregulation of protein thiol homeostasis by oxidative stress leads to mitochondrial dysfunction and neurodegeneration. We examined the critical roles played by the antioxidant, non-protein thiol, glutathione and related enzyme, glutaredoxin in maintaining mitochondrial function during excitotoxicity caused by beta-N-oxalyl amino-L-alanine (L-BOAA), the causative factor of neurolathyrism, a motor neuron disease involving the pyramidal system. L-BOAA causes loss of GSH and inhibition of mitochondrial complex I in lumbosacral cord of male mice through oxidation of thiol groups, while female mice are resistant. Reducing GSH levels in female mice CNS by pretreatment with diethyl maleate or L-propargyl glycine did not result in inhibition of complex I activity, unlike male mice. Further, treatment of female mice depleted of GSH with L-BOAA did not induce inhibition of complex I indicating that GSH levels were not critical for maintaining complex I activity in female mice unlike their male counterpart. Glutaredoxin, a thiol disulfide oxidoreductase helps maintain redox status of proteins and downregulation of glutaredoxin results in loss of mitochondrial complex I activity. Female mice express higher levels of glutaredoxin in certain CNS regions and downregulation of glutaredoxin using antisense oligonucleotides sensitizes them to L-BOAA toxicity seen as mitochondrial complex I loss. Ovariectomy downregulates glutaredoxin and renders female mice vulnerable to L-BOAA toxicity as evidenced by activation of AP1, loss of GSH and complex I activity indicating the important role of glutaredoxin in neuroprotection. Estrogen protects against mitochondrial dysfunction caused by excitotoxicity by maintaining cellular redox status through higher constitutive expression of glutaredoxin in the CNS. Therapeutic interventions designed to upregulate glutaredoxin may offer neuroprotection against excitotoxicity in motor neurons.
23535287	Cajaninstilbene acid (CSA) exerts cytoprotective effects against oxidative stress through the Nrf2-dependent antioxidant pathway.	Cajaninstilbene acid (CSA), an active compound separated from pigeon pea leaves, possesses the highly efficient antioxidant activities. Transcription factor nuclear factor-erythroid 2-related factor 2 (Nrf2) is an important regulator of cellular oxidative stress. This study examined the role of Nrf2 in CSA-mediated antioxidant effects on human hepatocarcinoma (HepG2) cell line. The generation of reactive oxygen species (ROS) upon H2O2 and CSA treatment was lower than that of H2O2 alone. CSA activated Nrf2 as evaluated by Western blotting. A luciferase reporter assay also demonstrated that CSA-activated signaling resulted in the increased transcriptional activity of Nrf2 through binding to the antioxidant response element (ARE) enhancer sequence. Our study indicated that treatment of HepG2 cells with CSA induces Nrf2-dependent ARE activity and gene expression of heme oxygenase-1 (HO-1), NAD(P)H quinone oxidoreductase 1 (NQO1), and glutamate-cysteine ligase modifier subunits by activation of PI3K/AKT, ERK and JNK signaling pathways. Inhibition of Nrf2 by siRNA reduced CSA-induced upregulation of these Nrf2-related enzymes. These results suggest that the Nrf2/ARE pathway plays an important role in the regulation of CSA-mediated antioxidant effects in HepG2 cells.
23583884	2,3,7,8-Tetrachlorodibenzo-p-dioxin-induced inflammatory activation is mediated by intracellular free calcium in microglial cells.	2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD) has been known to induce inflammatory signaling in a number of cell types and tissues. However, the adverse effects of TCDD on the central nervous system (CNS) have not been entirely elucidated. In this study, using reverse transcriptase PCR (RT-PCR) and ELISA, we showed that TCDD up-regulated the expression and secretion of tumor necrosis factor-alpha (TNF-α) in a time-dependent manner in cultured HAPI microglial cells. TCDD also caused a fast (within 30min as judged by the increase in its mRNA level) activation of cytosolic phospholipase A2 (cPLA2). This initial action was accompanied by up-regulation of cyclooxygenase-2 (COX-2), an important inflammation marker within 1h after TCDD treatment. These pro-inflammatory responses were inhibited by two types of Ca(2+) blockers, bis-(o-aminophenoxy) ethane-N,N,N',N'-tetra-acetic acid acetoxymethyl ester (BAPTA-AM) and nifedipine, thus, indicating that the effects are triggered by initial increase in the intracellular concentration of free Ca(2+) ([Ca(2+)]i). Further, TCDD exposure could induce phosphorylation- and ubiquitination-dependent degradation of IкBα, and the translocation of NF-κB p65 from the cytosol to the nucleus in this microglial cell line. Thus, the NF-κB signaling pathway can be activated after TCDD treatment. However, Ca(2+) blockers also obviously attenuated NF-κB activation and transnuclear transport induced by TCDD. In concert with these results, we highlighted that the secretion of pro-inflammatory cytokine and NF-κB activation induced by TCDD can be mediated by elevation of [Ca(2+)]i in HAPI microglial cells.
